sex,age,qx
male,20,0.00014091541260813063
male,21,0.00014008649841631808
male,22,0.0001396720413204118
male,23,0.00013884312712859927
male,24,0.000138428670032693
male,25,0.00013801421293678674
male,26,0.00013759975584088047
male,27,0.00013718529874497422
male,28,0.00013718529874497422
male,29,0.00013759975584088047
male,30,0.00013801421293678674
male,31,0.00013884312712859927
male,32,0.00014008649841631808
male,33,0.0001421587838958494
male,34,0.00014464552647128702
male,35,0.00014796118323853714
male,36,0.0001521057541975998
male,37,0.00015749369644438128
male,38,0.00016412500997888154
male,39,0.00017282860899291312
male,40,0.00018360449348647605
male,41,0.00019686712055547658
male,42,0.00021303094729582098
male,43,0.0002325104308034155
male,44,0.000256548942365979
male,45,0.00028556093907941766
male,46,0.00032078979223145024
male,47,0.0003630644160138895
male,48,0.00041321372461854773
male,49,0.0004733100035249564
male,50,0.0005450110811167405
male,51,0.0006295603286816189
male,52,0.0007298589458909354
male,53,0.000847564761128315
male,54,0.000985993431161008
male,55,0.0011484606127562646
male,56,0.0013378675055854283
male,57,0.001557944223511656
male,58,0.0018136642516858221
male,59,0.0021095866181628964
male,60,0.00245109926518966
male,61,0.002954951731809572
male,62,0.00355036263570624
male,63,0.004251349134329099
male,64,0.005072853849327994
male,65,0.0060317023047286875
male,66,0.0071472353287554665
male,67,0.008439404354594738
male,68,0.009930274633723939
male,69,0.011643580289186939
male,70,0.013604754592228194
male,71,0.015840957034200364
male,72,0.01838049906688747
male,73,0.021253406061333587
male,74,0.02448955759402082
male,75,0.028121056267291555
male,76,0.03217904524418547
male,77,0.036696120593216544
male,78,0.04170226567106328
male,79,0.04722863312507114
male,80,0.053303328132955984
male,81,0.059952483676909904
male,82,0.06720076814774621
male,83,0.07506751199771798
male,84,0.08356852409070901
male,85,0.09271583916898997
male,86,0.10251591769912476
male,87,0.11296851025316434
male,88,0.12406787926308041
male,89,0.1358017345932164
male,90,0.14815094342537669
male,91,0.1610884233649534
male,92,0.1745813746242607
male,93,0.1885894392380474
male,94,0.2030653508721881
male,95,0.21795741622357342
male,96,0.2332050998901178
male,97,0.24874597306244767
male,98,0.2645113691942141
male,99,0.2804290764447807
male,100,0.29642528127580514
male,101,0.3124228947016752
male,102,0.32834447510535936
male,103,0.3441134077446247
male,104,0.3596532148909514
male,105,0.374886810654231
male,106,0.3897415353050738
male,107,0.4041475554937953
male,108,0.41803714620157656
male,109,0.43134590536839423
male,110,0.444014
male,111,0.453033
male,112,0.461297
male,113,0.46878
male,114,0.475459
male,115,0.481313
male,116,0.486326
male,117,0.490484
male,118,0.493776
male,119,0.496194
male,120,1.0
female,20,8.41347904689721e-05
female,21,8.372033337306584e-05
female,22,8.372033337306584e-05
female,23,8.372033337306584e-05
female,24,8.372033337306584e-05
female,25,8.41347904689721e-05
female,26,8.454924756487837e-05
female,27,8.53781617566909e-05
female,28,8.66215330444097e-05
female,29,8.78649043321285e-05
female,30,8.993718981165983e-05
female,31,9.200947529119116e-05
female,32,9.53251320584413e-05
female,33,9.864078882569143e-05
female,34,0.00010319981688066035
female,35,0.00010900221622334809
female,36,0.00011563352975784836
female,37,0.0001235082145800674
female,38,0.00013304072778591155
female,39,0.00014464552647128702
female,40,0.0001583226106361938
female,41,0.00017448643737653818
female,42,0.00019396592088413272
female,43,0.00021634660406307112
female,44,0.0002428718582010722
female,45,0.00027437059748994843
female,46,0.0003108428219296999
female,47,0.0003531174457121391
female,48,0.00040285229722089106
female,49,0.00046004737645595587
female,50,0.0005267749688968647
female,51,0.000603449531639524
female,52,0.000692143350163465
female,53,0.0007945142528523129
female,54,0.0009118056109937864
female,55,0.0010460897100674168
female,56,0.0011994388355527352
female,57,0.001374754187121086
female,58,0.0015745225073479064
female,59,0.001800816081712728
female,60,0.002057779481174613
female,61,0.002440710022469734
female,62,0.0028851443187858186
female,63,0.0034005241198518748
female,64,0.003995518233646492
female,65,0.004680731392974289
female,66,0.005467390537262057
female,67,0.0063673228528139565
female,68,0.007394552402234493
female,69,0.008562728203906312
female,70,0.009887795155917993
female,71,0.011385852045254748
female,72,0.013074843488911457
female,73,0.014972835687780166
female,74,0.01710041835218853
female,75,0.019478319889068316
female,76,0.022126648027920325
female,77,0.025068722021803044
female,78,0.028325861848490935
female,79,0.03192332725329119
female,80,0.03588213014356731
female,81,0.040227175329380326
female,82,0.04498095874103132
female,83,0.05016625619705399
female,84,0.055803822394737544
female,85,0.061915250220363705
female,86,0.06851832375344188
female,87,0.07563144684451552
female,88,0.08326966681683896
female,89,0.09144361541729758
female,90,0.10016416810201548
female,91,0.10943748091235357
female,92,0.11926641195277977
female,93,0.12964951347482775
female,94,0.1405817051567153
female,95,0.152053266857632
female,96,0.16405055458520992
female,97,0.1765549952450715
female,98,0.1895447498339065
female,99,0.20299101516665516
female,100,0.2168633474572874
female,101,0.23112507124236678
female,102,0.24573689486249403
female,103,0.2606541030205451
female,104,0.2758303026222413
female,105,0.29121654957939574
female,106,0.3067604308159912
female,107,0.3224070642790098
female,108,0.33810014942400574
female,109,0.35378505016128486
female,110,0.369403
female,111,0.382406
female,112,0.39515
female,113,0.407594
female,114,0.4197
female,115,0.431431
female,116,0.442752
female,117,0.45363
female,118,0.464038
female,119,0.473947
female,120,1.0
